,customerID,email,promocode
452,1835,sureshravi@gmail.com,off3
454,1732,sureshravi@gmail.com,off3
459,1397,sureshravi@gmail.com,off1
470,2208,sureshravi@gmail.com,off3
476,1645,sureshravi@gmail.com,off2
478,1177,sureshravi@gmail.com,off3
479,1652,sureshravi@gmail.com,off3
482,1216,sureshravi@gmail.com,off3
484,1349,sureshravi@gmail.com,off3
488,1999,sureshravi@gmail.com,off3
490,181,sureshravi@gmail.com,off3
492,1891,sureshravi@gmail.com,off3
495,186,sureshravi@gmail.com,off3
497,2301,sureshravi@gmail.com,off2
503,1112,sureshravi@gmail.com,off3
518,1015,sureshravi@gmail.com,off3
527,1060,sureshravi@gmail.com,off3
531,1722,sureshravi@gmail.com,off3
532,1325,sureshravi@gmail.com,off3
536,185,sureshravi@gmail.com,off3
539,178,sureshravi@gmail.com,off3
543,2998,sureshravi@gmail.com,off1
545,1440,sureshravi@gmail.com,off3
548,843,sureshravi@gmail.com,off3
550,1219,sureshravi@gmail.com,off3
553,2367,sureshravi@gmail.com,off3
558,1479,sureshravi@gmail.com,off2
566,659,sureshravi@gmail.com,off3
571,967,sureshravi@gmail.com,off3
579,2215,sureshravi@gmail.com,off3
583,1743,sureshravi@gmail.com,off3
589,544,sureshravi@gmail.com,off3
602,2033,sureshravi@gmail.com,off3
603,1487,sureshravi@gmail.com,off3
605,1859,sureshravi@gmail.com,off3
606,1402,sureshravi@gmail.com,off3
607,1905,sureshravi@gmail.com,off2
609,1160,sureshravi@gmail.com,off3
610,2757,sureshravi@gmail.com,off3
612,409,sureshravi@gmail.com,off3
613,1459,sureshravi@gmail.com,off3
619,259,sureshravi@gmail.com,off3
621,723,sureshravi@gmail.com,off3
628,802,sureshravi@gmail.com,off3
629,1927,sureshravi@gmail.com,off2
635,2481,sureshravi@gmail.com,off1
637,1986,sureshravi@gmail.com,off3
639,1784,sureshravi@gmail.com,off3
643,2005,sureshravi@gmail.com,off3
647,831,sureshravi@gmail.com,off1
649,1665,sureshravi@gmail.com,off2
668,2712,sureshravi@gmail.com,off3
669,1884,sureshravi@gmail.com,off2
670,1608,sureshravi@gmail.com,off3
671,2086,sureshravi@gmail.com,off2
674,2780,sureshravi@gmail.com,off3
679,1209,sureshravi@gmail.com,off3
682,2205,sureshravi@gmail.com,off1
685,661,sureshravi@gmail.com,off3
686,1186,sureshravi@gmail.com,off3
689,454,sureshravi@gmail.com,off3
691,894,sureshravi@gmail.com,off3
697,1656,sureshravi@gmail.com,off3
699,636,sureshravi@gmail.com,off1
708,2084,sureshravi@gmail.com,off3
709,2922,sureshravi@gmail.com,off3
712,6,sureshravi@gmail.com,off3
714,479,sureshravi@gmail.com,off3
716,2034,sureshravi@gmail.com,off3
717,2484,sureshravi@gmail.com,off2
718,2062,sureshravi@gmail.com,off3
721,5,sureshravi@gmail.com,off3
722,1697,sureshravi@gmail.com,off3
724,1996,sureshravi@gmail.com,off3
725,2908,sureshravi@gmail.com,off3
737,2522,sureshravi@gmail.com,off2
740,970,sureshravi@gmail.com,off3
741,208,sureshravi@gmail.com,off3
742,706,sureshravi@gmail.com,off3
746,1182,sureshravi@gmail.com,off3
